_record_id,_dataset_id,_record_type,_version,_is_deleted,chart_record_id,event_date,event_date_accuracy,event_type,event_category,title,description,source_type,verification_status,confidence_tier
ASTRO-REC-EVNT-000001,ASTRO-PB-EVENTS-v0.1.0,event,1,false,ASTRO-REC-WIKI-000001,1903-01-01,estimated_year,career_start,career,"Patent clerk, Swiss Patent Office","Einstein begins work as a patent clerk in Bern",biography,verified_multi_source,verified
ASTRO-REC-EVNT-000002,ASTRO-PB-EVENTS-v0.1.0,event,1,false,ASTRO-REC-WIKI-000001,1905-01-01,estimated_year,career_milestone,career,"Annus Mirabilis papers","Publishes four groundbreaking papers on photoelectric effect, Brownian motion, special relativity, and mass-energy equivalence",biography,verified_multi_source,verified
ASTRO-REC-EVNT-000003,ASTRO-PB-EVENTS-v0.1.0,event,1,false,ASTRO-REC-WIKI-000001,1919-05-29,exact,career_milestone,career,"Solar eclipse confirms relativity","Arthur Eddington's expedition confirms general relativity during solar eclipse",biography,verified_multi_source,verified
ASTRO-REC-EVNT-000004,ASTRO-PB-EVENTS-v0.1.0,event,1,false,ASTRO-REC-WIKI-000001,1922-11-09,exact,career_milestone,career,"Nobel Prize in Physics","Awarded Nobel Prize in Physics for photoelectric effect",biography,verified_multi_source,verified
ASTRO-REC-EVNT-000005,ASTRO-PB-EVENTS-v0.1.0,event,1,false,ASTRO-REC-WIKI-000001,1955-04-18,exact,death,life_milestone,"Death","Dies at Princeton Hospital, New Jersey at age 76",biography,verified_multi_source,verified
ASTRO-REC-EVNT-000006,ASTRO-PB-EVENTS-v0.1.0,event,1,false,ASTRO-REC-WIKI-000003,1891-01-01,estimated_year,education_start,education,"Begins studies at Sorbonne","Marie Curie begins studying physics and mathematics at the University of Paris",biography,verified_multi_source,verified
ASTRO-REC-EVNT-000007,ASTRO-PB-EVENTS-v0.1.0,event,1,false,ASTRO-REC-WIKI-000003,1895-07-26,exact,marriage,life_milestone,"Marriage to Pierre Curie","Marries Pierre Curie, fellow physicist",biography,verified_multi_source,verified
ASTRO-REC-EVNT-000008,ASTRO-PB-EVENTS-v0.1.0,event,1,false,ASTRO-REC-WIKI-000003,1903-12-10,exact,career_milestone,career,"Nobel Prize in Physics","Awarded Nobel Prize in Physics jointly with Pierre Curie and Henri Becquerel",biography,verified_multi_source,verified
ASTRO-REC-EVNT-000009,ASTRO-PB-EVENTS-v0.1.0,event,1,false,ASTRO-REC-WIKI-000003,1911-12-10,exact,career_milestone,career,"Nobel Prize in Chemistry","Awarded Nobel Prize in Chemistry for discovery of radium and polonium",biography,verified_multi_source,verified
ASTRO-REC-EVNT-000010,ASTRO-PB-EVENTS-v0.1.0,event,1,false,ASTRO-REC-WIKI-000003,1934-07-04,exact,death,life_milestone,"Death","Dies of aplastic anemia at the Sancellemoz sanatorium in Passy",biography,verified_multi_source,verified
ASTRO-REC-EVNT-000011,ASTRO-PB-EVENTS-v0.1.0,event,1,false,ASTRO-REC-WIKI-000005,1936-01-01,estimated_year,education_completion,education,"Graduates from King's College Cambridge","Alan Turing graduates with first-class honours in mathematics",biography,verified_multi_source,verified
ASTRO-REC-EVNT-000012,ASTRO-PB-EVENTS-v0.1.0,event,1,false,ASTRO-REC-WIKI-000005,1940-01-01,estimated_year,career_milestone,career,"Bombe machine breaks Enigma","Turing's Bombe machine successfully decrypts German Enigma messages at Bletchley Park",biography,verified_multi_source,verified
ASTRO-REC-EVNT-000013,ASTRO-PB-EVENTS-v0.1.0,event,1,false,ASTRO-REC-WIKI-000011,1965-01-01,estimated_year,education_start,education,"Begins PhD at Cambridge","Stephen Hawking begins doctoral research in cosmology at Trinity Hall, Cambridge",biography,verified_multi_source,verified
ASTRO-REC-EVNT-000014,ASTRO-PB-EVENTS-v0.1.0,event,1,false,ASTRO-REC-WIKI-000011,1963-01-01,estimated_year,health_onset,health,"ALS diagnosis","Diagnosed with amyotrophic lateral sclerosis (ALS) at age 21",biography,verified_multi_source,verified
ASTRO-REC-EVNT-000015,ASTRO-PB-EVENTS-v0.1.0,event,1,false,ASTRO-REC-WIKI-000011,1988-03-01,exact,career_milestone,career,"A Brief History of Time published","Hawking's popular science book becomes international bestseller",biography,verified_multi_source,verified
ASTRO-REC-EVNT-000016,ASTRO-PB-EVENTS-v0.1.0,event,1,false,ASTRO-REC-WIKI-000007,1975-01-01,estimated_year,career_start,career,"Microsoft founded","Bill Gates co-founds Microsoft with Paul Allen in Albuquerque, New Mexico",biography,verified_multi_source,verified
ASTRO-REC-EVNT-000017,ASTRO-PB-EVENTS-v0.1.0,event,1,false,ASTRO-REC-WIKI-000007,2000-01-13,exact,career_change,career,"Steps down as Microsoft CEO","Gates transitions from CEO to Chief Software Architect",biography,verified_multi_source,verified
ASTRO-REC-EVNT-000018,ASTRO-PB-EVENTS-v0.1.0,event,1,false,ASTRO-REC-WIKI-000007,2000-01-01,estimated_year,career_milestone,wealth,"Bill & Melinda Gates Foundation","Launches the Bill & Melinda Gates Foundation with $28 billion endowment",biography,verified_multi_source,verified
ASTRO-REC-EVNT-000019,ASTRO-PB-EVENTS-v0.1.0,event,1,false,ASTRO-REC-WIKI-000008,1877-01-01,estimated_year,career_milestone,career,"Phonograph invented","Thomas Edison invents the phonograph at Menlo Park laboratory",biography,verified_multi_source,verified
ASTRO-REC-EVNT-000020,ASTRO-PB-EVENTS-v0.1.0,event,1,false,ASTRO-REC-WIKI-000008,1879-10-21,estimated_day,career_milestone,career,"First practical light bulb","Edison demonstrates the first commercially practical incandescent light bulb",biography,verified_multi_source,verified
