_record_id,_dataset_id,_record_type,_version,_is_deleted,test_id,bala_component,planet,rashi,house_number,is_exalted,is_own_sign,is_moolatrikona,is_retrograde,expected_strength_category,source_reference,notes
ASTRO-REC-BMBAL-000001,ASTRO-BM-BALA-v0.1.0,reference,1,false,STHANA-EXALT,suna_bala,sun,aries,10,true,false,false,false,exalted,Classical formula: exalted planet gets maximum Sthana Bala,Sun exalted in Aries — should score highest Sthana Bala
ASTRO-REC-BMBAL-000002,ASTRO-BM-BALA-v0.1.0,reference,1,false,STHANA-DEBIL,suna_bala,sun,libra,4,false,false,false,false,debilitated,Classical formula: debilitated planet gets minimum Sthana Bala,Sun debilitated in Libra — should score lowest Sthana Bala
ASTRO-REC-BMBAL-000003,ASTRO-BM-BALA-v0.1.0,reference,1,false,STHANA-OWN,suna_bala,sun,leo,1,false,true,false,false,own_sign,Classical formula: own sign gets moderate Sthana Bala,Sun in own sign Leo — should score moderate Sthana Bala
ASTRO-REC-BMBAL-000004,ASTRO-BM-BALA-v0.1.0,reference,1,false,STHANA-MT,suna_bala,sun,leo,1,false,true,true,false,moolatrikona,Classical formula: moolatrikona gets higher than own sign,Sun in moolatrikona Leo — should score higher than own sign
ASTRO-REC-BMBAL-000005,ASTRO-BM-BALA-v0.1.0,reference,1,false,DIG-10TH,dig_bala,sun,leo,10,false,false,false,false,high,Classical: Sun strongest in 10th house,Sun in 10th house — maximum Dig Bala
ASTRO-REC-BMBAL-000006,ASTRO-BM-BALA-v0.1.0,reference,1,false,DIG-4TH,dig_bala,sun,leo,4,false,false,false,false,low,Classical: Sun weakest in 4th house,Sun in 4th house — minimum Dig Bala
ASTRO-REC-BMBAL-000007,ASTRO-BM-BALA-v0.1.0,reference,1,false,DIG-MOON10,dig_bala,moon,cancer,10,false,false,false,false,high,Classical: Moon strongest in 4th house (wait, Moon strongest in 4th, not 10th),Moon in 4th house — maximum Dig Bala for Moon
ASTRO-REC-BMBAL-000008,ASTRO-BM-BALA-v0.1.0,reference,1,false,DIG-MOON4,dig_bala,moon,scorpio,4,false,false,false,false,high,Classical: Moon strongest in 4th house,Moon in 4th house — maximum Dig Bala
ASTRO-REC-BMBAL-000009,ASTRO-BM-BALA-v0.1.0,reference,1,false,DIG-MARS1,dig_bala,mars,aries,1,false,false,false,false,high,Classical: Mars strongest in 1st house,Mars in 1st house — maximum Dig Bala
ASTRO-REC-BMBAL-000010,ASTRO-BM-BALA-v0.1.0,reference,1,false,DIG-MARS7,dig_bala,mars,libra,7,false,false,false,false,low,Classical: Mars weakest in 7th house,Mars in 7th house — minimum Dig Bala
ASTRO-REC-BMBAL-000011,ASTRO-BM-BALA-v0.1.0,reference,1,false,RETRO-OWN,suna_bala,sun,leo,1,false,true,false,true,retrograde_bonus,Classical: retrograde in own sign gives extra strength,Retrograde Sun in own sign — should get retrograde bonus
ASTRO-REC-BMBAL-000012,ASTRO-BM-BALA-v0.1.0,reference,1,false,KENDRA-1,suna_bala,sun,aries,1,false,false,false,false,kendra,Classical: planet in kendra gets bonus,Sun in kendra (1st house) — kendra bonus
ASTRO-REC-BMBAL-000013,ASTRO-BM-BALA-v0.1.0,reference,1,false,TRIKONA-5,suna_bala,sun,leo,5,false,false,false,false,trikona,Classical: planet in trikona gets bonus,Sun in trikona (5th house) — trikona bonus
ASTRO-REC-BMBAL-000014,ASTRO-BM-BALA-v0.1.0,reference,1,false,DUSTHANA-6,suna_bala,sun,virgo,6,false,false,false,false,dusthana,Classical: planet in dusthana gets penalty,Sun in dusthana (6th house) — dusthana penalty
ASTRO-REC-BMBAL-000015,ASTRO-BM-BALA-v0.1.0,reference,1,false,NAISARGIKA-ORDER,naisargika_bala,moon,cancer,4,false,false,false,false,highest,Classical: Moon has highest Naisargika Bala,Moon — highest natural strength among grahas
ASTRO-REC-BMBAL-000016,ASTRO-BM-BALA-v0.1.0,reference,1,false,NAISARGIKA-SAT,naisargika_bala,saturn,capricorn,10,false,false,false,false,lowest,Classical: Saturn has lowest Naisargika Bala,Saturn — lowest natural strength among grahas
ASTRO-REC-BMBAL-000017,ASTRO-BM-BALA-v0.1.0,reference,1,false,SHADBALA-SUM,shadbala_total,sun,leo,1,false,true,false,false,total_check,Classical: Total Shadbala = sum of 6 components,Total Shadbala should equal sum of individual components
